slot_id,scene_id,artist_id,artist_name,main_genre,appeal_score,cost,is_headliner
0,0,61,Rage Against The Machine,alt-rock,69.61372132591268,40785,0
0,1,138,Sleepy Hallow,r-n-b,67.77634995467187,39061,0
0,2,50,Bettye LaVette,chill,69.99760474951006,39778,0
1,0,86,AC/DC,hard-rock,68.90848457576874,37680,0
1,1,144,Schillist,brazil,67.62694561044829,35377,0
1,2,168,Jaani,pop-film,67.1448308133751,35782,0
2,0,108,Mother Mother,indie,68.39832969203093,39558,0
2,1,53,Travis Scott,house,69.85987237851387,36992,0
2,2,32,Dido,hip-hop,71.16101254997092,40061,0
3,0,95,System Of A Down,metal,68.64560729250083,38973,0
3,1,23,Jhay Cortez,latin,71.8380484629481,44172,0
3,2,118,Beyoncé,dance,68.13680141818223,38077,0
4,0,70,Beach Bunny,indie-pop,69.42747274141945,40186,0
4,1,28,Dynoro,deep-house,71.33951905122014,41083,0
4,2,149,Xzibit,hardcore,67.5042160398815,34288,0
5,0,5,Harry Styles,pop,74.99156755008866,46906,1
5,1,132,Age Of Love,trance,67.8543402679877,32608,0
5,2,25,2Pac,funk,71.7459046481069,37399,0
