slot_id,scene_id,artist_id,artist_name,main_genre,appeal_score,cost,is_headliner
0,0,174,NMIXX,k-pop,67.09710011015045,39518,0
0,1,149,Xzibit,hardcore,67.5042160398815,34288,0
0,2,107,Tems,dancehall,68.40369190614682,35554,0
1,0,108,Mother Mother,indie,68.39832969203093,39558,0
1,1,23,Jhay Cortez,latin,71.8380484629481,44172,0
1,2,118,Beyoncé,dance,68.13680141818223,38077,0
2,0,50,Bettye LaVette,chill,69.99760474951006,39778,0
2,1,86,AC/DC,hard-rock,68.90848457576874,37680,0
2,2,69,Rvfv,latino,69.48652417244448,38785,0
3,0,132,Age Of Love,trance,67.8543402679877,32608,0
3,1,145,Caesars,swedish,67.62285161671315,34158,0
3,2,138,Sleepy Hallow,r-n-b,67.77634995467187,39061,0
4,0,136,Dwin,electronic,67.8035373460779,31699,0
4,1,70,Beach Bunny,indie-pop,69.42747274141945,40186,0
4,2,32,Dido,hip-hop,71.16101254997092,40061,0
5,0,13,Shouse,house,73.40320534958155,41761,1
5,1,61,Rage Against The Machine,alt-rock,69.61372132591268,40785,0
5,2,166,Giveon,pop,67.22595923203602,44245,0
