method,run_id,best_score,appeal,diversity,flow,conflict,budget_penalty,duplicate_penalty,headliner_penalty,invalid_artist_penalty,total_cost,budget,budget_usage,runtime_seconds
GA,0,0.9322660388472546,0.6944278756698334,0.9999999999937725,0.8318634791930732,0.6862014676300165,0.0,0.0,0.0,0.0,699923.0,700000.0,0.99989,85.43244504928589
PSO,0,0.9193290586388168,0.6928742835898493,0.9999999999937725,0.7616292433713188,0.6700566632665618,0.0,0.0,0.0,0.0,689798.0,700000.0,0.9854257142857142,53.87166476249695
GA,1,0.9190466300111217,0.6924496339280743,0.9999999999937725,0.8121824204306257,0.6950962167394157,0.0,0.0,0.0,0.0,689150.0,700000.0,0.9845,80.40539598464966
PSO,1,0.9431045925978232,0.69553923840141,0.9999999999937725,0.8197119096181305,0.6639136978108913,0.0,0.0,0.0,0.0,698766.0,700000.0,0.9982371428571428,53.03082799911499
GA,2,0.9267251149912623,0.6952779570362037,0.9999999999937725,0.7924583358898347,0.6771505713490013,0.0,0.0,0.0,0.0,699554.0,700000.0,0.9993628571428571,83.7829818725586
PSO,2,0.9320934210280377,0.6910080162926897,0.9999999999937725,0.8134154173581221,0.6715653674493296,0.0,0.0,0.0,0.0,696309.0,700000.0,0.9947271428571428,50.35552000999451
GA,3,0.9296407455750969,0.6868654794022995,0.9999999999937725,0.8141895476810516,0.6691359968817118,0.0,0.0,0.0,0.0,678235.0,700000.0,0.9689071428571429,82.15375709533691
PSO,3,0.9035971706715362,0.6942004861106755,0.9999999999937725,0.753938246991871,0.6946413158903494,0.0,0.0,0.0,0.0,697892.0,700000.0,0.9969885714285714,49.96097207069397
GA,4,0.925199297512417,0.689215555497903,0.9999999999937725,0.7967885590475512,0.6717547094954344,0.0,0.0,0.0,0.0,695078.0,700000.0,0.9929685714285714,82.07337784767151
PSO,4,0.9237954671005992,0.6965957667729654,0.9999999999937725,0.7907784605232556,0.6833897297114195,0.0,0.0,0.0,0.0,699073.0,700000.0,0.9986757142857143,51.18638896942139
GA,5,0.9336018855061285,0.690958144346477,0.9999999999937725,0.7999892712026746,0.6622550669977664,0.0,0.0,0.0,0.0,694322.0,700000.0,0.9918885714285715,80.10976266860962
PSO,5,0.9127018637228553,0.6887443013126654,0.9999999999937725,0.7903232959702376,0.6885657106306503,0.0,0.0,0.0,0.0,684357.0,700000.0,0.9776528571428571,53.01075291633606
GA,6,0.9193378936362973,0.6860552645570551,0.9733541703754371,0.8172821588261372,0.6687394778646234,0.0,0.0,0.0,0.0,694393.0,700000.0,0.99199,80.13325023651123
PSO,6,0.931622751645493,0.6889025670867338,0.9999999999937725,0.7732141708526196,0.6487401111575591,0.0,0.0,0.0,0.0,693613.0,700000.0,0.9908757142857143,50.428930044174194
GA,7,0.9427176374239425,0.689620735614958,0.9999999999937725,0.8132395541208928,0.6514582740413204,0.0,0.0,0.0,0.0,692234.0,700000.0,0.9889057142857143,79.84745717048645
PSO,7,0.9357441486498752,0.6910085552385482,0.9999999999937725,0.7745484014986395,0.6460482117262898,0.0,0.0,0.0,0.0,695868.0,700000.0,0.9940971428571429,49.277320861816406
GA,8,0.9429482556470365,0.6898106952841303,0.9999999999937725,0.804943432213207,0.6472424488309415,0.0,0.0,0.0,0.0,691974.0,700000.0,0.9885342857142857,79.45065116882324
PSO,8,0.9245350146088374,0.6893748296740716,0.9999999999937725,0.806467750575575,0.6779669003923593,0.0,0.0,0.0,0.0,687378.0,700000.0,0.9819685714285714,50.94201588630676
GA,9,0.9400186904719434,0.6908020979738215,0.9999999999937725,0.7821150193858865,0.6423631888585886,0.0,0.0,0.0,0.0,691279.0,700000.0,0.9875414285714286,82.30583000183105
PSO,9,0.9221253238471467,0.6915061891257094,0.9999999999937725,0.7808800885375762,0.6727414863955737,0.0,0.0,0.0,0.0,696545.0,700000.0,0.9950642857142857,50.62821292877197
